"","name","interest","graded","program","skill.1","skill.2","skill.3","skill.4","skill.5","skill.6","skill.7","skill.8","topics","assignment"
"80","Fernie Digger","promoting civic engagement and political participation","yes","SSP",0,1,0,0,1,0,0,1,"Love is a powerful, motivating — and underappreciated — force for many teachers. A new book by alum John Miller explores the strength it brings, its connection to effective practice, and the need to nurture it",21
"81","Fughilda Bonshort","promoting civic engagement and political participation","yes","L&T",0,1,0,1,1,0,1,1,"“If the only tool you have is a hammer, you tend to see every problem as a nail.”",0
"82","Gatald","promoting civic engagement and political participation","no","HDP",0,1,0,1,1,0,1,0,"“A teacher affects eternity; he can never tell where his influence stops.”",19
"83","Gugan Prume","promoting civic engagement and political participation","no","L&L",1,0,1,0,0,1,1,1,"“Do not train children to learning by force and harshness, but direct them to it by what amuses their minds, so that you may be better able to discover with accuracy the peculiar bent of the genius of each.”",19
"84","Honson","promoting civic engagement and political participation","yes","L&T",1,0,1,1,0,1,0,0,"Motivation. Even educational motivation. Has always been a tough nut to crack.",23
"85","Jhenna Voorhis","promoting civic engagement and political participation","no","MBE",0,0,1,1,1,0,1,1,"An intergalactic adventure that results in personal growth and badassery.",23
"86","Kingoot","promoting civic engagement and political participation","yes","AIE",0,0,0,1,0,0,1,0,"interested in the effects of media content and technology on development, learning, and civic behavior.",21
"87","Nilley Wolderidge","promoting civic engagement and political participation","yes","Higher Ed",1,0,1,0,1,0,1,0,"“He who opens a school door, closes a prison.”",19
"88","Paul Bangiola","promoting civic engagement and political participation","yes","TIE",0,1,0,1,1,1,0,1,"A job",20
"89","Pondlee","promoting civic engagement and political participation","no","Higher Ed",1,1,1,1,0,1,1,0,"“I’ve learned… that the best classroom in the world is at the feet of an elderly person.”",22
"90","Ron Weasley","promoting civic engagement and political participation","yes","L&L",0,1,1,1,0,1,1,0,"I want to learn all the types of things that make us great",23
"91","Rosald Kengle","promoting civic engagement and political participation","no","SSP",1,0,0,0,0,1,0,1,"“People learn something every day, and a lot of times it’s that what they learned the day before was wrong.”",21
"92","Sathiria Tones","promoting civic engagement and political participation","no","L&L",1,0,0,0,0,0,0,0,"“Nine tenths of education is encouragement.”",22
"93","Stefy Cohen","promoting civic engagement and political participation","yes","Higher Ed",1,0,1,1,0,0,1,0,"I want to design a project I can execute after we’re done with the class. ",19
"94","Tesla","promoting civic engagement and political participation","no","TIE",0,1,0,1,0,1,0,1,"Perspective & hutspa",22
"95","Tonya Bryant","promoting civic engagement and political participation","yes","TIE",0,1,0,0,0,1,1,1,"I want to make civic action a priority for teens. ",20
"96","Varcus Flagg","promoting civic engagement and political participation","yes","SLP",0,0,0,1,1,0,1,1,"“Tell me and I’ll forget; show me and I may remember; involve me and I’ll understand.”",22
"97","Zaberta Dirdle","promoting civic engagement and political participation","no","SLP",1,1,0,1,0,0,0,0,"“When a subject becomes totally obsolete we make it a required course.”",21
"98","Iva Markicevic ","Representation of women one STEM","yes","TIE",1,1,1,0,0,0,1,1,"New ways of thinking about coming up with a solution for a problem that’s important to me ",0
"99","TESTTOO","Representation of women one STEM","yes","HDP",0,0,1,0,0,0,1,0,"Listen. here's the thing - I don't want to do anything in this class. I hate all things",0
