"","name","interest","graded","program","skill.1","skill.2","skill.3","skill.4","skill.5","skill.6","skill.7","skill.8","topics","assignment"
"18","Molly Prewett","helping children and teens become wiser consumers","no","TEP",0,0,1,0,1,1,0,0,"“To teach is to learn twice.”",1
"19","Herafle onge Bornagoon","developing print and digital literacy","no","TIE",0,0,0,1,0,1,0,0,"“Keep away from people who try to belittle your ambitions. Small people always do that, but the really great make you feel that you, too, can become great.”",2
"20","Angis Chamelle","developing print and digital literacy","yes","PSP",0,0,1,0,1,1,1,0,"“Education is a progressive discovery of our own ignorance.”",7
"21","Joe Blatt","helping children and teens become wiser consumers","no","HDP",1,1,1,0,0,0,0,0,"“What does education often do? It makes a straight-cut ditch of a free, meandering brook.”",4
"22","Gatald","promoting civic engagement and political participation","no","Higher Ed",1,0,1,0,1,0,0,0,"“I’ve learned… that the best classroom in the world is at the feet of an elderly person.”",4
"23","Willy","improving children's health and fitness","yes","L&L",1,0,1,0,0,1,1,1,"“What sculpture is to a block of marble education is to the human soul.”",7
"24","Nicki Anselmo","improving children's health and fitness","no","SSP",1,0,1,0,1,0,1,0,"“The only thing that interferes with my learning is my education.”",1
"25","Romeo Montague","improving children's health and fitness","yes","IEP",0,0,1,1,0,1,0,1,"“Education would be much more effective if its purpose was to ensure that by the time they leave school every boy and girl should know how much they do not know, and be imbued with a lifelong desire to know it.”",1
"26","Jameson Studwell ","developing print and digital literacy","yes","MBE",1,0,0,0,0,0,1,1,"“It is a thousand times better to have common sense without education than to have education without common sense.”",5
"27","Belatius Wellawont","promoting civic engagement and political participation","yes","L&T",1,0,1,0,1,0,1,0,"Motivation. Even educational motivation. Has always been a tough nut to crack.",5
"28","Nachranagare","developing print and digital literacy","yes","HDP",1,1,1,1,1,1,1,1,"Parents and teachers are always working up new tricks to give these students a bit of motivation. Of course, in many ways the best motivation for the young kids remains the old “carrot and stick” method. Let the child self reward when they do good jobs, and have a set of punishments when they do not live up to standards.",6
"29","Emily Ostermeyer","promoting civic engagement and political participation","yes","SSP",0,1,0,0,1,0,0,1,"I want to create a product that will allow students to engage in their local governments",9
"30","Arthur Read","helping children and teens become wiser consumers","no","L&T",1,0,1,1,0,0,1,0,"I want to help children identify fake news and understand how to vet sources",8
"31","asdf","helping children and teens become wiser consumers","no","TIE",1,1,0,0,1,0,0,1,"To first understand what a wise consumer is, developing a working theory for what an adult wise consumer is, then scaffold that learning in the context of children. ",11
"32","Richlad of Grangoon","developing print and digital literacy","no","TIE",1,1,1,0,0,1,1,0,"All the knowledge",10
"33","Bonkin","improving children's health and fitness","no","L&T",1,0,0,0,0,1,0,1,"I'd like to teach kids how to eat cheese efficiently ",9
"34","Sir Livey","helping children and teens become wiser consumers","no","TIE",1,1,1,0,0,0,1,0,"I want to meet elmo",9
"35","Netrin Gunk","helping children and teens become wiser consumers","yes","L&T",0,1,1,1,1,1,0,0,"Education is not only about the past and present, but it is also the key to the future. It will help discipline our children for the intellectual challenges of the rest of the 21st century.",8
"36","Pille Torkis","Making moving films/tv","no","Higher Ed",0,0,0,0,1,0,1,0,"If you want to get some inspiration of your own, you may want to click on the link below, for some of the best motivational books you can buy. These books will get you fired up and ready to learn!",8
"37","S. Gawce","improving children's health and fitness","yes","L&T",0,1,1,0,1,1,0,0,"But education is still important because it opens the mind and expands it.",10
"38","Marcole","helping children and teens become wiser consumers","yes","HDP",0,1,0,0,0,1,1,1,"“It is the mark of an educated mind to be able to entertain a thought without accepting it.”",11
"39","Gonelda Michortan","developing print and digital literacy","yes","EPM",1,1,1,1,0,1,0,1,"“The difference between school and life? In school, you’re taught a lesson and then given a test. In life, you’re given a test that teaches you a lesson.”",10
"40","Kingoot","promoting civic engagement and political participation","no","L&L",0,1,1,1,0,1,1,0,"“Nine tenths of education is encouragement.”",11
"41","Brand","developing print and digital literacy","yes","TIE",0,0,1,0,0,0,1,1,"“The most beautiful things in the creating of the child are his “mistakes.” The more a child’s work is full of these individual mistakes the more wonderful it is. And the more a teacher removes them from the child’s work the duller, more desolate and impersonal it becomes.”",10
"42","Tonya Bryant","helping children and teens become wiser consumers","no","EPM",1,0,0,0,1,0,0,1,"“The modern world belongs to the half-educated, a rather difficult class, because they do not realize how little they know.”",11
"43","Cartice Marge","promoting civic engagement and political participation","no","HDP",0,1,1,1,0,0,0,0,"“Education cost money, but then so does ignorance.”",9
"44","Libert Stinglen","developing print and digital literacy","no","TIE",0,1,1,0,1,0,1,1,"“The whole purpose of education is to turn mirrors into windows.”",11
"45","Groyle","promoting civic engagement and political participation","no","L&L",1,0,1,1,0,0,1,0,"“Do not train children to learning by force and harshness, but direct them to it by what amuses their minds, so that you may be better able to discover with accuracy the peculiar bent of the genius of each.”",8
"46","Paul Bangiola","promoting civic engagement and political participation","no","AIE",0,1,1,1,0,0,1,0,"I want kids to know more about the government and politics in general",15
"47","Tesla","developing print and digital literacy","yes","EPM",0,1,1,0,1,1,1,1,"I'm interested in making innovative children's literature (interactive picture books)",16
"48","Jhenna Voorhis","developing print and digital literacy","yes","TIE",1,0,1,1,1,1,1,1,"Learn more about informal learning and formative assessment.",12
"49","Negaline Jenserur","promoting civic engagement and political participation","no","TIE",0,1,1,0,1,0,0,0,"Perspective & hutspa",15
"50","Honson","developing print and digital literacy","no","TEP",1,1,1,0,1,0,1,0,"“The challenges are enormous but so is the potential.” – Craig Paxton, Ed.M.'09, executive director of Axium Education, on reaching South Africa's most rural communities.",12
"51","Elice Longbottom","helping children and teens become wiser consumers","no","HDP",0,0,1,0,0,1,0,1,"How African American teachers have talked about and taught the stories of Nat Turner and other figures of black resistance and rebellion.",15
"52","Angoline Welifla","helping children and teens become wiser consumers","no","HDP",1,0,1,0,0,0,0,1,"He is renewing the historic relationship between HGSE and Sesame Workshop, as recently documented in the Harvard Gazette",16
"53","Stefy Cohen","Making moving films/tv","no","MBE",0,0,0,1,1,1,0,0,"Not much has changed, there, except you might be taking away time playing video games instead of taking away time from playing ball with their friends.",15
"54","Gugan Prume","Making moving films/tv","yes","HDP",0,0,0,0,0,1,1,1,"“It is impossible for a man to learn what he thinks he already knows.”",16
"55","Diger Dervins","improving children's health and fitness","yes","MBE",0,1,1,1,0,0,0,0,"“Have you ever been at sea in a dense fog, when it seemed as if a tangible white darkness shut you in and the great ship, tense and anxious, groped her way toward the shore with plummet and sounding-line, and you waited with beating heart for something to happen? I was like that ship before my education began, only I was without compass or sounding line, and no way of knowing how near the harbor was. “Light! Give me light!” was the wordless cry of my soul, and the light of love shone on me in that very hour.”",16
"56","Duric Alberton","promoting civic engagement and political participation","yes","L&T",1,0,1,1,0,0,0,1,"“If the only tool you have is a hammer, you tend to see every problem as a nail.”",13
"57","Varcus Flagg","improving children's health and fitness","no","TEP",0,0,1,1,1,0,1,1,"“Why should society feel responsible only for the education of children, and not for the education of all adults of every age?”",16
"58","Sathiria Tones","improving children's health and fitness","yes","PSP",1,0,1,1,0,0,1,0,"“The first problem for all of us, men and women, is not to learn, but to unlearn.”",13
"59","Herky Wessley","Making moving films/tv","no","SLP",1,0,1,0,1,0,0,1,"“Example is not the main thing in influencing others. It is the only thing.”",12
"60","Thous Crove","developing print and digital literacy","yes","IEP",0,0,0,1,1,1,0,0,"“The aim of education should be to teach us rather how to think, than what to think — rather to improve our minds, so as to enable us to think for ourselves, than to load the memory with thoughts of other men.”",14
"61","S. Poffor","improving children's health and fitness","yes","MBE",0,1,0,1,0,1,0,1,"“If you think education is expensive, try ignorance.”",14
"62","Agasthya Pradhan Shenoy","Making moving films/tv","yes","EPM",1,1,1,1,1,1,1,1,"“If someone is going down the wrong road, he doesn’t need motivation to speed him up. What he needs is education to turn him around.”",13
"63","alex mcgee","promoting civic engagement and political participation","no","SSP",0,0,1,0,0,0,1,1,"“People learn something every day, and a lot of times it’s that what they learned the day before was wrong.”",13
"64","Colone Nurcoula","improving children's health and fitness","yes","HDP",1,0,1,1,1,0,1,1,"“Treat people as if they were what they ought to be, and you help them to become what they are capable of becoming.”",14
"65","Milecs Brewett","developing print and digital literacy","no","EPM",1,0,0,0,0,1,1,0,"“If you are planning for a year, sow rice; if you are planning for a decade, plant trees; if you are planning for a lifetime, educate people.”",12
"66","Mernaga Jones","improving children's health and fitness","yes","MBE",1,1,0,1,0,1,1,1,"“Education makes a people easy to lead but difficult to drive: easy to govern, but impossible to enslave.”",14
"67","TESTTOO","improving children's health and fitness","yes","TIE",1,0,1,1,1,0,0,1,"A job",18
"68","Harry Potter","improving children's health and fitness","yes","AIE",0,0,1,0,1,0,0,0,"A portfolio-worthy concept, feedback from top execs and networking ",17
"69","Deself orde Porcer","developing print and digital literacy","no","TEP",1,1,0,1,0,0,0,0,"""Contending with frequent moves, new schools, and the echoes of deployments, these military-connected kids carry a unique weight—often invisible, often unacknowledged."" Reflecting on how schools can meet the needs of military families",17
"70","Fughilda Bonshort","improving children's health and fitness","no","MBE",0,0,0,1,1,0,1,1,"Particularly younger kids may go into school kicking and screaming the whole way. While the best motivation will always be intrinsic motivation something has to be done to give kids that initial motivation until they grow up enough to motivate themselves.",19
"71","just testing","Making moving films/tv","yes","L&L",1,1,1,1,0,1,1,0,"“You can teach a student a lesson for a day; but if you can teach him to learn by creating curiosity, he will continue the learning process as long as he lives.”",17
"72","Grongott","promoting civic engagement and political participation","no","SLP",1,0,0,0,1,1,1,1,"“When a subject becomes totally obsolete we make it a required course.”",18
"73","Augustus Rooks","developing print and digital literacy","yes","L&T",0,1,0,0,0,0,0,1,"“Children have never been very good at listening to their elders, but they have never failed to imitate them.”",19
"74","Rosald Kengle","improving children's health and fitness","yes","IEP",0,1,0,1,1,1,0,1,"“Education is simply the soul of a society as it passes from one generation to another.”",19
"75","Abtrux Bolden","promoting civic engagement and political participation","yes","Higher Ed",1,1,1,0,0,0,1,1,"“He who opens a school door, closes a prison.”",18
"76","Pondlee","Making moving films/tv","yes","SSP",0,0,1,0,0,0,1,0,"“If a man is a fool, you don’t train him out of being a fool by sending him to university. You merely turn him into a trained fool, ten times more dangerous.”",18
"77","Juliet Capulet","developing print and digital literacy","no","IEP",1,0,1,0,0,1,1,1,"“If a man empties his purse into his head, no man can take it away from him. An investment in knowledge always pays the best interest.”",19
"78","Andrew Bennett","improving children's health and fitness","no","SSP",1,0,1,1,0,0,0,1,"“A well-educated mind will always have more questions than answers.”",17
"79","Iva Markicevic ","improving children's health and fitness","yes","Higher Ed",1,0,1,1,0,1,0,0,"I want to make healthy eating fun by incorporating science into cooking shows",20
"80","TESTY MCTESTERSON","promoting civic engagement and political participation","no","MBE",1,1,1,0,1,1,0,1,"An intergalactic adventure that results in personal growth and badassery.",23
"81","Ron Weasley","promoting civic engagement and political participation","yes","Higher Ed",1,1,1,0,0,0,0,0,"I want to design a project I can execute after we’re done with the class. ",24
"82","Ollator Bardbey","promoting civic engagement and political participation","yes","TIE",0,1,1,1,0,1,0,0,"A job",24
"83","Mortaguus Flamper","Making moving films/tv","yes","TIE",0,1,0,1,1,0,1,1,"Just whatever seems interesting. I like helping kids",22
"84","Mornangua Mchinget","Representation of women one STEM","yes","HDP",0,0,0,0,0,1,0,0,"Listen. here's the thing - I don't want to do anything in this class. I hate all things",24
"85","Crount Scinger","promoting civic engagement and political participation","yes","L&L",1,1,1,1,1,1,0,1,"I want to learn all the types of things that make us great",22
"86","Fernie Digger","helping children and teens become wiser consumers","yes","TIE",1,1,0,0,1,0,1,1,"I want to be the best that there ever was, even better than you",20
"87","Artus Pelice","helping children and teens become wiser consumers","yes","AIE",1,0,1,1,1,0,0,0,"asdfsg",23
"88","Delaner Dorks","developing print and digital literacy","yes","SSP",0,1,0,1,1,0,1,0,"I want to read about how elmo and big bird have affected the way children think about the colors red and yellow, respectively",24
"89","Greacher Pattwle","improving children's health and fitness","yes","MBE",0,1,1,0,1,0,0,0,"High school student-athlete Andraya Yearwood visited campus to share the story of her gender transition and the ways in which her school succeeded — and came up short — in supporting her through that time. ",23
"90","Laperida Coot","developing print and digital literacy","yes","L&L",0,1,0,0,1,0,1,1,"“The civic education we need now is, above all, an education in reasoning and arguing about big ethical questions that matter: justice, the common good, what it means to be a citizen,” says political philosopher Michael Sandel in recent talk",22
"91","Theji Jayaratne","promoting civic engagement and political participation","yes","AIE",1,0,1,0,0,1,0,0,"interested in the effects of media content and technology on development, learning, and civic behavior.",20
"92","Armolina Jeenbrodon","developing print and digital literacy","yes","TIE",0,0,0,1,0,1,0,0,"Education not only teaches our children facts but also teaches them how to think and learn on their own.",23
"93","Cawtana Srinct","developing print and digital literacy","yes","TEP",0,0,0,1,0,0,1,0,"While a few kids are motivated to do well from their own thirst for knowledge. Most are not.",21
"94","Horolf  Weasley","improving children's health and fitness","no","PSP",1,0,0,0,0,0,0,0,"Regardless, some of the educational quotes below will hopefully help students gain a little bit of motivation, or at least give parents and educators some ideas on applying some extrinsic motivation.",24
"95","Bole","improving children's health and fitness","yes","AIE",0,1,0,0,1,0,1,1,"“Aim for success, not perfection. Never give up your right to be wrong, because then you will lose the ability to learn new things and move forward with your life. Remember that fear always lurks behind perfectionism.”",21
"96","Nilley Wolderidge","helping children and teens become wiser consumers","no","HDP",0,0,1,0,1,0,1,1,"“No man who worships education has got the best out of education…. Without a gentle contempt for education no man’s education is complete.”",22
"97","Carcus Blencon","promoting civic engagement and political participation","yes","SLP",1,1,1,0,0,0,0,0,"“Tell me and I’ll forget; show me and I may remember; involve me and I’ll understand.”",21
"98","Gumistor Keverill","developing print and digital literacy","no","HDP",0,0,0,1,1,1,1,0,"“Many highly intelligent people are poor thinkers. Many people of average intelligence are skilled thinkers. The power of the car is separate from the way the car is driven.”",20
"99","Emily Shoemaker","Making moving films/tv","no","HDP",0,1,0,1,1,1,1,1,"“The only person who is educated is the one who has learned how to learn …and change.”",21
